Test,Question,A- Excellent,B- Adequate,C - Needs Improvement,No evidence
1,1,Class started on time. Instructor engaged students before class started.,Class started on time.,Class did not start on time. It was  XX minutes late.,I was not there from the start of the class so I could not observe the instructor's punctuality.
1,2,The instructor was fully prepared to start class.,The instructor was fully prepared to start class.,The instructor did not seem prepared to start class right away.,The instructor did not seem prepared to start class right away.
1,3,Allocation time to each topic was ingeniously planned. A very clever way to plan for topic coverage.,"In the brief time I attended they class and from the syllabus topic to be covered that week, an appropriate amount of time was devoted to each topic.","In the brief time I attended they class and from the syllabus topic to be covered that week, there did not appear to be effective planning of time to cover each topic.",Too much time was spent on some topics leaving other topics to feel rushed.  I suggest that better time planning is needed in the future.
1,4,I observed a very thoughtful arranging of the topics.,I observed an adequate sequencing of the topics for the subject being covered. ,The topics did not seem to be covered in a logical order which may have been confusing for some students. I suggest better logical sequencing of the topics for the next time the class is taught. ,No logic sequence of the topics in this session. Suggest better planning of top[ic order.
1,5,The instructor seems to have set up the technology before arriving in class so he/she was fully prepared to start class with no technical issues.,Technology appeared to be properly set up before hand and working and ready for class to start.,Instructor arrived just in time to start class but took class time to get technology set up.,I did not observe any technology preparations before class started causing delays in start while instructor set up technology.
1,6,Throughout the time I was there I observed that the instructor always kept his class on point,Throughout the time I was there I observed that the instructor mostly kept his class on point,Throughout the time I was there I observed that the instructor had difficulty keeping his class on point.,Throughout the time I was there I observed that the instructor had difficulty keeping his class on point. May diversions into side issues occurred.
1,7,"The instructor used several additional strategies to minimize time wasted - such as forum topics, assignments, quizzes – linked in the lesson page.","The instructor used some additional strategies to minimize time wasted. such as forum topics, assignments, quizzes – linked in the lesson page.","The instructor used few or no additional strategies to minimize time wasted. – such as  forum topics, assignments, quizzes – linked in the lesson page.",The instructor did not use any additional strategies to minimize time wasted. I suggest he explore such activities to focus the class in the future.
2,8,The class content was reflective of the assigned topic for the session from the syllabus.,The class content was reflective of the assigned topic for the session from the syllabus.,"The class content was somewhat reflective of the assigned topic for the session from the syllabus but other topics were covered as well, which can be confusing to the students.",The class content was not reflected on the assigned topic for the session from the syllabus. This can be confusing to the students.
2,9,The instructor did an excellent job connecting the current session to the prior sessions and the content of the entire class.,The instructor connected the current session to the prior sessions. The continuity  was good but no relation to the   content of the entire class was made.,The instructor did not connect the current session to the prior sessions or the content of the entire class.,I was not able to observe this since I was not there at the start for the class.
2,10,The instructor did an excellent job covering the content of the class.  It is obvious he/she is a subject matter expert. ,The instructor did a good job covering the content of the class. He/she appears to be knowledgeable about the subject. ,The instructor need to do  a better job covering the content of the class in the future. He/she appears to be have some knowledge of the subject. ,The instructor need brush up on the details of the topic he was covering. Students had many questions and he/she was vague in his answers.
